SA2_NAME16,Population
Gungahlin - East,0
Gungahlin - West,0
Jacka,692
Kenny,18
Moncrieff,5495
Taylor,2531
Throsby,2948
Acton,2959
Ainslie,5286
Braddon,6753
Civic,4968
Dickson,3474
Downer,4334
Hackett,3238
Lyneham,5652
O`Connor (ACT),5857
Turner,4536
Watson,6857
Black Mountain,0
Campbell,4861
Duntroon,2015
Parkes (ACT) - North,0
Reid,1766
Russell,0
Deakin,3138
Forrest,1877
Griffith (ACT),5334
Lake Burley Griffin,0
Narrabundah,6543
Parkes (ACT) - South,4
Red Hill (ACT),3219
Yarralumla,3094
Barton,1978
Fyshwick,59
Kingston (ACT),6928
Banks,5005
Bonython,3757
Calwell,5660
Chisholm,5204
Conder,5010
Fadden,2981
Gilmore,2678
Gordon (ACT),7820
Gowrie (ACT),3078
Greenway,4412
Isabella Plains,4274
Kambah,15757
Macarthur,1366
Monash,5564
Mount Taylor,0
Oxley (ACT),1674
Richardson,3016
Theodore,3735
Tuggeranong,40
Wanniassa,7815
Tuggeranong - West,10
Chapman,2838
Duffy,3412
Fisher,3266
Holder,2820
Rivett,3317
Stirling,2126
Waramanga,2728
Weston,3933
Scrivener,0
Chifley,2612
Curtin,5488
Farrer,3793
Garran,3721
Hughes,3162
Isaacs,2339
Lyons (ACT),3224
Mawson,3396
O`Malley,942
Pearce,2676
Phillip,5448
Torrens,2391
Arboretum,10
Coombs,5062
Denman Prospect,3487
Molonglo,0
Wright,4018
Molonglo - East,3
Whitlam,53
ACT - South West,557
Namadgi,67
Christmas Island,1787
Cocos (Keeling) Islands,614
Jervis Bay,311
Norfolk Island,2213
,
,
,
,
,
